../generated_graphs/barabasi_rand_100_30.clq,0,52,0,52,0,21,0,21
../generated_graphs/barabasi_rand_100_40.clq,0,30,0,30,0,23,0,23
../generated_graphs/barabasi_rand_100_50.clq,0,71,0,71,0,77,0,77
../generated_graphs/barabasi_rand_100_60.clq,0,52,0,52,0,29,0,29
../generated_graphs/barabasi_rand_100_70.clq,0,26,0,26,0,26,0,26
../generated_graphs/barabasi_rand_100_80.clq,0,21,0,21,0,21,0,21
../generated_graphs/barabasi_rand_1000_301.clq,5,1013,25,1013,16,1002,25,1002
../generated_graphs/barabasi_rand_1000_400.clq,6,819,34,819,20,900,33,900
../generated_graphs/barabasi_rand_1000_500.clq,1,152,19,152,27,1131,48,1131
../generated_graphs/barabasi_rand_1000_600.clq,3,356,30,356,17,221,31,221
../generated_graphs/barabasi_rand_1000_701.clq,7,695,45,695,14,208,26,208
../generated_graphs/barabasi_rand_5000_100.clq,18,606,45,606,52,502,52,502
../generated_graphs/barabasi_rand_5000_1000.clq,17,285,209,285,387,5283,601,5283
../generated_graphs/barabasi_rand_5000_4000.clq,143,944,913,944,353,944,1062,944
../generated_graphs/barabasi_rand_5000_4500.clq,51,500,255,500,272,500,446,500
../generated_graphs/barabasi_rand_5000_4800.clq,6,201,51,201,52,201,62,201
../generated_graphs/barabasi_rand_10000_500.clq,49,240,228,240,348,2092,391,2092
../generated_graphs/barabasi_rand_10000_500.clq,45,240,237,240,357,2092,390,2092
../generated_graphs/barabasi_rand_10000_9000.clq,260,1000,1299,1000,1161,1000,2047,1000
../generated_graphs/barabasi_rand_10000_3017.clq,440,2069,2277,2069,2140,8143,5236,8143
../generated_graphs/barabasi_rand_10000_10.clq,19,724,26,724,27,690,25,690
../generated_graphs/barabasi_rand_10000_100.clq,65,607,119,607,121,562,109,562
